date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:54	2391/2391	---M--	200	added ('OK')	image/gif	etag:%22957-35778352d8680%22	https://www.cis.rit.edu/htbooks/nmr/spectra/mek-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/mek-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-6.htm)
10:47:55	2200/2200	---M--	200	added ('OK')	image/gif	etag:%22898-3577834b37480%22	https://www.cis.rit.edu/htbooks/nmr/spectra/etoh-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/etoh-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-8.htm)
10:47:55	2192/2192	---M--	200	added ('OK')	image/gif	etag:%22890-3577834a43240%22	https://www.cis.rit.edu/htbooks/nmr/spectra/etoh-c-d.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/etoh-c-d.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-9.htm)
10:47:55	2377/2377	---M--	200	added ('OK')	image/gif	etag:%22949-3577833bf5080%22	https://www.cis.rit.edu/htbooks/nmr/spectra/1proh-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/1proh-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-10.htm)
10:47:55	2167/2167	---M--	200	added ('OK')	image/gif	etag:%22877-3577833fc5980%22	https://www.cis.rit.edu/htbooks/nmr/spectra/2proh-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/2proh-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-11.htm)
10:47:56	2170/2170	---M--	200	added ('OK')	image/gif	etag:%2287a-35778356a8f80%22	https://www.cis.rit.edu/htbooks/nmr/spectra/tbute-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/tbute-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-12.htm)
10:47:56	2526/2526	---M--	200	added ('OK')	image/gif	etag:%229de-3577833bf5080%22	https://www.cis.rit.edu/htbooks/nmr/spectra/2buoh-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/2buoh-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-13.htm)
10:47:56	2295/2295	---M--	200	added ('OK')	image/gif	etag:%228f7-35778356a8f80%22	https://www.cis.rit.edu/htbooks/nmr/spectra/pyrid-c.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/spectra/pyrid-c.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-9/i4-14.htm)
10:47:57	9330/9330	---M--	200	added ('OK')	image/gif	etag:%222472-356b2dd2ccc40%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-bas.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-bas.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-1.htm)
10:47:57	2571/2571	---M--	200	added ('OK')	image/gif	etag:%22a0b-356b2dd791780%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-spec.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-spec.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-2.htm)
10:47:57	7927/7927	---M--	200	added ('OK')	image/gif	etag:%221ef7-356b2dcc1fc80%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/2d-te-sp.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/2d-te-sp.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-3.htm)
10:47:57	2197/2197	---M--	200	added ('OK')	image/gif	etag:%22895-356b2dcefc340%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-00.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-00.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-4.htm)
10:47:58	13132/13132	---M--	200	added ('OK')	image/gif	etag:%22334c-356b2dcff0580%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-90.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-90.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-5.htm)
10:47:58	11868/11868	---M--	200	added ('OK')	image/gif	etag:%222e5c-356b2dd2ccc40%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-dp.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-dp.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-6.htm)
10:47:58	15585/15585	---M--	200	added ('OK')	image/gif	etag:%223ce1-356b2dcefc340%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-180.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-180.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-7.htm)
10:47:59	14078/14078	---M--	200	added ('OK')	image/gif	etag:%2236fe-356b2dd69d540%22	https://www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-rp.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-10/images/a2b-rp.gif	(from https://www.cis.rit.edu/htbooks/nmr/chap-10/j1-8.htm)
